type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text
platforms,0,1000,500,100,100,0,0,0,0,0,0,""
platforms,0,1100,400,300,400,0,0,0,0,0,0,""
platforms,0,1400,500,200,100,0,0,0,0,0,0,""
platforms,0,2400,400,100,600,0,0,0,0,0,0,""
platforms,0,2800,400,100,600,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,4450,500,200,70,0,0,0,0,0,0,""
platforms,0,2900,600,100,200,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
breakableBlocks,5,1200,200,50,50,0,0,0,0,0,0,""
breakableBlocks,5,1300,200,50,50,0,0,0,0,0,0,""
itemBlocks,9,1250,200,50,50,0,0,0,0,0,0,""
itemBlocks,9,2750,400,60,60,0,0,0,0,0,0,""
itemBlocks,9,4550,330,50,50,0,0,0,0,0,0,""
itemBlocks,9,0,0,0,0,0,0,0,0,0,0,""
jumpPlatfroms,13,0,0,0,0,0,-800,0,0,0,0,""
batteryHumans,14,3650,350,50,50,-300,-800,4,0,0,0,""
batteryHumans,14,0,0,0,0,800,-400,0,0,0,0,""
knockBackWalls,17,2380,400,50,200,900,-700,0,0.3,0,0,""
knockBackWalls,17,2850,500,50,200,200,-700,0,0,0,0,""
knockBackWalls,17,0,0,0,0,-600,-200,0,0,0,0,""
knockBackWalls,17,0,0,0,0,-600,-200,0,0,0,0,""
knockBackWalls,17,0,0,0,0,-600,-200,0,0,0,0,""
knockBackWalls,17,0,0,0,0,-600,-200,0,0,0,0,""
splitPlatforms,18,3000,600,200,200,100,50,0,0,0,0,""
movePlatformsX,20,0,0,0,0,200,200,0,0,0,0,""
moveDownHazardsExtY,23,1400,-60,90,30,100,200,0,0,0,0,""
moveDownHazardsExtY,23,3200,-30,400,30,500,1500,200,0,0,0,""
moveHazardsExtX,25,0,0,0,0,100,200,0,0,0,0,""
fallingPlatforms,30,2500,580,300,400,0.5,400,0,0,0,0,""
fallingPlatforms,30,0,0,0,0,0.5,400,0,0,0,0,""
fallingPlatforms,30,0,0,0,0,0.5,400,0,0,0,0,""
upRisingPlatforms,31,3200,599,150,200,2,1500,0,0,0,0,""
upRisingPlatforms,31,0,0,0,0,0.3,300,0,0,0,0,""
upRisingPlatforms,31,0,0,0,0,0.3,300,0,0,0,0,""
upRisingPlatforms,31,0,0,0,0,0.3,300,0,0,0,0,""
clearBlocks,33,2500,400,60,60,0,0,0,0,0,0,""
clearBlocks,33,2560,400,60,60,0,0,0,0,0,0,""
clearBlocks,33,2620,400,60,60,0,0,0,0,0,0,""
clearBlocks,33,2680,400,80,60,0,0,0,0,0,0,""
clearBlocks,33,2530,200,50,50,0,0,0,0,0,0,""
clearBlocks,33,3700,150,100,50,0,0,0,0,0,0,""
clearBlocks,33,3800,150,50,50,0,0,0,0,0,0,""
clearBlocks,33,3850,50,200,20,0,0,0,0,0,0,""
clearBlocksX,34,4050,450,50,50,0,0,0,0,0,0,""
clearBlocksX,34,4050,500,50,50,0,0,0,0,0,0,""
clearBlocksX,34,4050,550,50,50,0,0,0,0,0,0,""
clearBlocksX,34,4050,400,50,50,0,0,0,0,0,0,""
clearBlocksX,34,0,0,0,0,0,0,0,0,0,0,""
clearBlocksX,34,0,0,0,0,0,0,0,0,0,0,""
switchPlatforms,35,0,0,0,0,100,0,200,0,0,0,""
fallingTexts,36,5800,200,130,60,0.2,1000,300,48,0,0,""
exitDoors,37,6100,450,60,100,4,0,0,0,0,0,""
platforms,0,0,600,2440,200,0,0,0,0,0,0,""
platforms,0,0,600,560,200,0,0,0,0,0,0,""
upRisingPlatforms,31,0,590,240,40,2,1500,0,0,0,0,""
moveHazardsExtY,22,1500,470,90,30,470,1000,-1,0,0,0,""
moveHazards,21,1400,530,90,30,520,200,0,0,0,0,""
moveHazardsRight,24,1310,470,90,30,850,1900,1,0,0,0,""
jumpPlatfroms,13,3560,600,220,200,0,-800,0.4,2.5,3,400,""
switchButtons,40,300,-150,100,50,0,0,0,0,0,0,""
switchButtons,40,3900,450,100,200,0,0,0,0,0,0,""
switchPlatforms,35,3560,730,220,20,1000,0,200,0,0,0,""
switchPlatforms,35,5280,560,1040,400,1000,0,300,0,0,0,""
switchButtons,40,5120,240,160,400,0,0,0,0,0,0,""
upDouwnPlatforms,32,4080,780,240,40,400,100,100,1,0,0,""
batteryHumans,14,4120,80,50,50,1700,-1200,4,0,0,0,""
commentBlocks,41,3700,550,100,50,3,0,0,0,0,0,"ジャンプじゃ！"
deathBlocks,43,0,-50,250,50,0,0,0,0,0,0,""
commentBlocks,41,0,0,400,80,3,0,0,0,0,0,"why"
deathBlocks,43,240,-80,400,80,0,0,0,0,0,0,""
platforms,0,4250,650,100,50,0,0,0,0,0,0,""
deathBlocks,43,3320,1000,2080,40,0,0,0,0,0,0,""
deathBlocks,43,5200,1040,1520,80,0,0,0,0,0,0,""
clearBlocks,33,4040,160,200,40,0,0,0,0,0,0,""
platforms,0,6320,560,560,400,0,0,0,0,0,0,""
warpHoles,49,6760,440,120,120,6700,220,0,0,0,0,""
[ENEMIES]
enemyTypeId,posX,posY,p0,p1,p2,p3,p4,p5
0,750,550,100,200,0,0,0,0
0,2100,550,100,200,0,0,0,0
1,1900,350,80,100,0,0,0,0
0,1850,550,100,200,0,0,0,0
