type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text,spriteId,rotation,flipX,flipY
switchPlatforms,35,0,450,450,700,-600,0,200,0,0,0,"",Beam,0,0,0
decorSprites,54,470,190,60,60,0,0,0,0,0,0,"",Fake_clear,0,0,0
switchButtons,40,450,200,180,130,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,150,1150,500,100,0,0,0,0,0,0,"",None,0,0,0
deathBlocks,43,650,1150,2250,100,0,0,0,0,0,0,"",None,0,0,0
movePlatformsX,20,700,450,150,50,200,100,0,0,0,0,"",None,0,0,0
knockBackWalls,17,2050,680,300,100,-600,-200,5,0.1,0.1,0,"",DIE_block,0,0,0
platforms,0,1840,450,210,450,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2350,450,210,450,0,0,0,0,0,0,"",Beam,0,0,0
fallingPlatforms,30,2050,450,300,450,0.3,700,0,0,0,0,"",Beam,0,0,0
moveHazardX,24,2350,460,80,230,200,20,0,-1,200,20,"",Nedle3,180,0,0
moveHazardX,24,1970,450,80,230,200,20,0,1,200,20,"",Nedle3,0,0,0
clearBlocks,33,1740,240,60,60,0,0,0,0,0,0,"",None,0,0,0
decorSprites,54,2480,260,340,540,0,0,0,0,0,0,"",Drum_2,0,0,0
platforms,0,2560,340,20,400,0,0,0,0,0,0,"",None,0,0,0
platforms,0,2720,340,20,400,0,0,0,0,0,0,"",None,0,0,0
platforms,0,2760,440,200,440,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,2960,440,200,440,0,0,0,0,0,0,"",Beam,0,0,0
decorSprites,54,2960,200,200,280,0,0,0,0,0,0,"",Fence,0,0,0
moveHazardX,24,3900,300,160,160,600,200,0,-1,600,40,"",Ojisan_car,0,0,0
magnets,16,4650,150,80,80,50,250,0,0,0,0,"",None,0,0,0
platforms,0,4940,410,100,30,0,0,0,0,0,0,"",Beam,0,0,0
platforms,0,5820,400,100,40,0,0,0,0,0,0,"",Beam,0,0,0
magnets,16,5220,140,80,80,50,200,0,0,0,0,"",None,0,0,0
magnets,16,5560,140,80,80,50,200,0,0,0,0,"",None,0,0,0
deathBlocks,43,4450,1000,1950,100,0,0,0,0,0,0,"",None,0,0,0
platforms,0,6490,390,100,50,0,0,0,0,0,0,"",Beam,0,0,0
magnets,16,6130,140,80,80,50,200,0,0,0,0,"",None,0,0,0
platforms,0,7580,440,580,640,0,0,0,0,0,0,"",None,0,0,0
moveHazardX,24,6900,550,310,310,350,500,0,-1,100,150,"",Ojisan_real1,0,0,0
switchPlatforms,35,6850,440,750,800,0,-500,200,200,0,0,"",ground2,0,0,0
switchButtons,40,6700,150,200,400,0,0,0,0,0,0,"",None,0,0,0
platforms,0,6850,550,40,370,0,0,0,0,0,0,"",None,0,0,0
platforms,0,6850,440,30,190,0,0,0,0,0,0,"",None,0,0,0
platforms,0,3160,440,400,440,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,3560,440,400,440,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,3960,440,400,440,0,0,0,0,0,0,"",ground2,0,0,0
platforms,0,4160,440,400,440,0,0,0,0,0,0,"",Beam,0,0,0
icePlatforms,10,3160,440,400,80,0.02,400,500,0,0,0,"",IceBlock,0,0,0
icePlatforms,10,3560,440,400,80,0.02,400,500,0,0,0,"",IceBlock,0,0,0
icePlatforms,10,3960,440,600,80,0.02,400,500,0,0,0,"",IceBlock,0,0,0
respawn,39,2100,250,100,50,0,0,0,0,0,0,"",None,0,0,0
[ENEMIES]
enemyTypeId,posX,posY,p0,p1,p2,p3,p4,p5
1,1060,340,80,100,0,0,0,0
1,1280,320,80,100,0,0,0,0
