type,typeId,x,y,w,h,p0,p1,p2,p3,p4,p5,text
platforms,0,0,600,3300,200,0,0,0,0,0,0,""
platforms,0,1000,500,100,100,0,0,0,0,0,0,""
platforms,0,1100,400,300,400,0,0,0,0,0,0,""
platforms,0,1400,500,200,100,0,0,0,0,0,0,""
platforms,0,2400,400,100,600,0,0,0,0,0,0,""
platforms,0,2800,400,100,600,0,0,0,0,0,0,""
platforms,0,3600,600,200,600,0,0,0,0,0,0,""
platforms,0,4450,500,200,70,0,0,0,0,0,0,""
platforms,0,5200,550,1200,400,0,0,0,0,0,0,""
platforms,0,0,0,0,0,0,0,0,0,0,0,""
hazards,2,1500,470,90,30,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
hazards,2,0,0,0,0,0,0,0,0,0,0,""
breakableBlocks,5,1200,200,50,50,0,0,0,0,0,0,""
breakableBlocks,5,1300,200,50,50,0,0,0,0,0,0,""
itemBlocks,9,1250,200,50,50,0,0,0,0,0,0,""
itemBlocks,9,2750,400,50,50,0,0,0,0,0,0,""
itemBlocks,9,4550,330,50,50,0,0,0,0,0,0,""
itemBlocks,9,0,0,0,0,0,0,0,0,0,0,""
movePlatformsX,20,0,0,0,0,200,200,0,0,0,0,""
upDouwnPlatforms,32,4000,326.516,200,50,150,200,200,0.5,0,0,""
switchPlatforms,35,1540,500,60,110,100,0,200,0,0,0,""
switchButtons,40,1350,290,60,110,0,0,0,0,0,0,""
commentBlocks,41,500,500,100,50,3,0,0,0,0,0,"戦う"
